"","filename","species","current","cc","cn","gf","he","mp"
"1","Aulax pallasia_presence_curr_2010.csv","Aulax pallasia",16801,14860,14757,14338,14555,14511
"2","Aulax pallasia_presence_curr_2040.csv","Aulax pallasia",16801,10019,9459,7731,8460,8375
"3","Aulax pallasia_presence_curr_2070.csv","Aulax pallasia",16801,5325,4495,2917,3440,3475
"4","Aulax umbellata_presence_curr_2010.csv","Aulax umbellata",8396,8009,7689,7392,7471,7551
"5","Aulax umbellata_presence_curr_2040.csv","Aulax umbellata",8396,5743,4703,3600,4306,4466
"6","Aulax umbellata_presence_curr_2070.csv","Aulax umbellata",8396,4156,3702,1839,2735,2630
"7","Brabejum stellatifolium_presence_curr_2010.csv","Brabejum stellatifolium",26201,25965,25750,25763,25487,25334
"8","Brabejum stellatifolium_presence_curr_2040.csv","Brabejum stellatifolium",26201,24872,24326,24737,23035,22535
"9","Brabejum stellatifolium_presence_curr_2070.csv","Brabejum stellatifolium",26201,36476,37885,36317,38855,32604
"10","Diastella buekii_presence_curr_2010.csv","Diastella buekii",11822,11553,11941,11302,11475,11227
"11","Diastella buekii_presence_curr_2040.csv","Diastella buekii",11822,11023,12464,10257,10868,9880
"12","Diastella buekii_presence_curr_2070.csv","Diastella buekii",11822,10983,13531,9329,10702,8861
"13","Diastella divaricata_presence_curr_2010.csv","Diastella divaricata",2302,2014,1943,1721,1916,1768
"14","Diastella divaricata_presence_curr_2040.csv","Diastella divaricata",2302,1235,1116,687,1011,750
"15","Diastella divaricata_presence_curr_2070.csv","Diastella divaricata",2302,812,732,146,471,220
"16","Diastella fraterna_presence_curr_2010.csv","Diastella fraterna",1455,1425,1402,1373,1456,1442
"17","Diastella fraterna_presence_curr_2040.csv","Diastella fraterna",1455,1117,951,1007,1164,1101
"18","Diastella fraterna_presence_curr_2070.csv","Diastella fraterna",1455,708,479,551,736,434
"19","Diastella parilis_presence_curr_2010.csv","Diastella parilis",1910,1779,1857,1706,1745,1699
"20","Diastella parilis_presence_curr_2040.csv","Diastella parilis",1910,1311,1562,1107,1148,1034
"21","Diastella parilis_presence_curr_2070.csv","Diastella parilis",1910,2119,5452,7019,7977,3858
"22","Diastella proteoides_presence_curr_2010.csv","Diastella proteoides",9034,9486,9582,9074,9614,9247
"23","Diastella proteoides_presence_curr_2040.csv","Diastella proteoides",9034,8822,8920,7142,8919,7552
"24","Diastella proteoides_presence_curr_2070.csv","Diastella proteoides",9034,6679,6649,3066,5495,3395
"25","Diastella thymelaeoides_presence_curr_2010.csv","Diastella thymelaeoides",1607,1821,1718,1741,1768,1845
"26","Diastella thymelaeoides_presence_curr_2040.csv","Diastella thymelaeoides",1607,2426,1975,2007,2113,2552
"27","Diastella thymelaeoides_presence_curr_2070.csv","Diastella thymelaeoides",1607,3065,2241,2221,2439,3161
"28","Leucadendron album_presence_curr_2010.csv","Leucadendron album",10782,7671,7385,6966,7270,7174
"29","Leucadendron album_presence_curr_2040.csv","Leucadendron album",10782,3367,2844,2232,2725,2691
"30","Leucadendron album_presence_curr_2070.csv","Leucadendron album",10782,1370,792,400,615,866
"31","Leucadendron argenteum_presence_curr_2010.csv","Leucadendron argenteum",5218,4936,5060,4676,5008,4535
"32","Leucadendron argenteum_presence_curr_2040.csv","Leucadendron argenteum",5218,4180,4630,2939,4361,2518
"33","Leucadendron argenteum_presence_curr_2070.csv","Leucadendron argenteum",5218,3328,4263,1004,3610,767
"34","Leucadendron brunioides_presence_curr_2010.csv","Leucadendron brunioides",16062,20247,20853,21806,20958,21180
"35","Leucadendron brunioides_presence_curr_2040.csv","Leucadendron brunioides",16062,27688,28908,32340,29650,30335
"36","Leucadendron brunioides_presence_curr_2070.csv","Leucadendron brunioides",16062,87079,102365,87880,111010,105421
"37","Leucadendron burchellii_presence_curr_2010.csv","Leucadendron burchellii",5030,4277,4151,3881,3977,3942
"38","Leucadendron burchellii_presence_curr_2040.csv","Leucadendron burchellii",5030,2241,1867,1007,1264,1113
"39","Leucadendron burchellii_presence_curr_2070.csv","Leucadendron burchellii",5030,814,523,117,234,153
"40","Leucadendron chamelaea_presence_curr_2010.csv","Leucadendron chamelaea",9018,7030,7002,6781,6698,6507
"41","Leucadendron chamelaea_presence_curr_2040.csv","Leucadendron chamelaea",9018,3971,4021,3507,3471,3134
"42","Leucadendron chamelaea_presence_curr_2070.csv","Leucadendron chamelaea",9018,2248,2218,1485,1519,1235
"43","Leucadendron cinereum_presence_curr_2010.csv","Leucadendron cinereum",10081,9176,9268,7990,8851,9060
"44","Leucadendron cinereum_presence_curr_2040.csv","Leucadendron cinereum",10081,8727,9114,6792,9002,8274
"45","Leucadendron cinereum_presence_curr_2070.csv","Leucadendron cinereum",10081,9160,9668,6140,9793,7208
"46","Leucadendron concavum_presence_curr_2010.csv","Leucadendron concavum",2318,2365,1267,2705,2143,1695
"47","Leucadendron concavum_presence_curr_2040.csv","Leucadendron concavum",2318,3402,53,4167,2759,1538
"48","Leucadendron concavum_presence_curr_2070.csv","Leucadendron concavum",2318,2784,0,3078,1026,555
"49","Leucadendron conicum_presence_curr_2010.csv","Leucadendron conicum",4076,3525,3304,3447,3258,3199
"50","Leucadendron conicum_presence_curr_2040.csv","Leucadendron conicum",4076,2063,930,1316,889,1225
"51","Leucadendron conicum_presence_curr_2070.csv","Leucadendron conicum",4076,709,41,163,73,183
"52","Leucadendron coniferum_presence_curr_2010.csv","Leucadendron coniferum",4927,5310,5336,4820,5206,4951
"53","Leucadendron coniferum_presence_curr_2040.csv","Leucadendron coniferum",4927,6660,6715,4515,6246,4886
"54","Leucadendron coniferum_presence_curr_2070.csv","Leucadendron coniferum",4927,9363,8913,5086,7980,6024
"55","Leucadendron cordatum_presence_curr_2010.csv","Leucadendron cordatum",7855,7079,7410,5849,6807,7019
"56","Leucadendron cordatum_presence_curr_2040.csv","Leucadendron cordatum",7855,4448,5661,1588,3465,3995
"57","Leucadendron cordatum_presence_curr_2070.csv","Leucadendron cordatum",7855,3196,4848,599,2106,2537
"58","Leucadendron coriaceum_presence_curr_2010.csv","Leucadendron coriaceum",10650,11314,11179,10640,11180,11553
"59","Leucadendron coriaceum_presence_curr_2040.csv","Leucadendron coriaceum",10650,11447,12783,7280,11722,11485
"60","Leucadendron coriaceum_presence_curr_2070.csv","Leucadendron coriaceum",10650,13441,16442,2853,9752,11262
"61","Leucadendron corymbosum_presence_curr_2010.csv","Leucadendron corymbosum",8670,9349,9629,9318,9530,9200
"62","Leucadendron corymbosum_presence_curr_2040.csv","Leucadendron corymbosum",8670,10319,10982,9009,10029,9021
"63","Leucadendron corymbosum_presence_curr_2070.csv","Leucadendron corymbosum",8670,9087,9553,5835,7488,5796
"64","Leucadendron daphnoides_presence_curr_2010.csv","Leucadendron daphnoides",12057,11835,11965,11483,11738,11505
"65","Leucadendron daphnoides_presence_curr_2040.csv","Leucadendron daphnoides",12057,11358,12046,9674,10933,10134
"66","Leucadendron daphnoides_presence_curr_2070.csv","Leucadendron daphnoides",12057,11688,12823,8077,10036,8557
"67","Leucadendron diemontianum_presence_curr_2010.csv","Leucadendron diemontianum",8316,7036,6168,7708,6517,6439
"68","Leucadendron diemontianum_presence_curr_2040.csv","Leucadendron diemontianum",8316,4063,2445,5972,3188,2987
"69","Leucadendron diemontianum_presence_curr_2070.csv","Leucadendron diemontianum",8316,3119,6929,3833,6505,2083
"70","Leucadendron dregei_presence_curr_2010.csv","Leucadendron dregei",2770,2179,2060,2108,1983,2073
"71","Leucadendron dregei_presence_curr_2040.csv","Leucadendron dregei",2770,796,454,659,369,603
"72","Leucadendron dregei_presence_curr_2070.csv","Leucadendron dregei",2770,196,62,94,45,95
"73","Leucadendron dubium_presence_curr_2010.csv","Leucadendron dubium",5492,4360,4474,4359,4003,4096
"74","Leucadendron dubium_presence_curr_2040.csv","Leucadendron dubium",5492,1604,1265,2227,725,624
"75","Leucadendron dubium_presence_curr_2070.csv","Leucadendron dubium",5492,2953,95,2249,687,0
"76","Leucadendron elimense_presence_curr_2010.csv","Leucadendron elimense",9571,9115,8817,8538,8728,8956
"77","Leucadendron elimense_presence_curr_2040.csv","Leucadendron elimense",9571,6493,5512,4518,5017,5599
"78","Leucadendron elimense_presence_curr_2070.csv","Leucadendron elimense",9571,3995,2748,1727,1951,2490
"79","Leucadendron eucalyptifolium_presence_curr_2010.csv","Leucadendron eucalyptifolium",16794,14145,13947,14165,13365,13375
"80","Leucadendron eucalyptifolium_presence_curr_2040.csv","Leucadendron eucalyptifolium",16794,5899,5440,5988,4421,4459
"81","Leucadendron eucalyptifolium_presence_curr_2070.csv","Leucadendron eucalyptifolium",16794,2703,2207,2826,1289,1567
"82","Leucadendron floridum_presence_curr_2010.csv","Leucadendron floridum",4866,4695,5088,4740,5397,4066
"83","Leucadendron floridum_presence_curr_2040.csv","Leucadendron floridum",4866,4214,5692,4108,6783,2100
"84","Leucadendron floridum_presence_curr_2070.csv","Leucadendron floridum",4866,3739,6182,3340,7570,734
"85","Leucadendron foedum_presence_curr_2010.csv","Leucadendron foedum",5871,6280,6311,5986,6158,6557
"86","Leucadendron foedum_presence_curr_2040.csv","Leucadendron foedum",5871,7412,7633,5021,6551,8557
"87","Leucadendron foedum_presence_curr_2070.csv","Leucadendron foedum",5871,8209,9592,2620,6041,9946
"88","Leucadendron galpinii_presence_curr_2010.csv","Leucadendron galpinii",9059,10766,10365,10074,10321,10502
"89","Leucadendron galpinii_presence_curr_2040.csv","Leucadendron galpinii",9059,17226,16565,12101,16406,15282
"90","Leucadendron galpinii_presence_curr_2070.csv","Leucadendron galpinii",9059,32816,27424,16393,24222,22809
"91","Leucadendron glaberrimum_presence_curr_2010.csv","Leucadendron glaberrimum",17388,14128,13386,14314,13671,13374
"92","Leucadendron glaberrimum_presence_curr_2040.csv","Leucadendron glaberrimum",17388,9018,6948,9662,8031,7378
"93","Leucadendron glaberrimum_presence_curr_2070.csv","Leucadendron glaberrimum",17388,5722,3959,6214,4160,3060
"94","Leucadendron globosum_presence_curr_2010.csv","Leucadendron globosum",3769,3121,3073,2706,3026,2956
"95","Leucadendron globosum_presence_curr_2040.csv","Leucadendron globosum",3769,1318,1160,662,1005,914
"96","Leucadendron globosum_presence_curr_2070.csv","Leucadendron globosum",3769,359,301,85,256,110
"97","Leucadendron gydoense_presence_curr_2010.csv","Leucadendron gydoense",14659,12515,11657,12685,12066,11732
"98","Leucadendron gydoense_presence_curr_2040.csv","Leucadendron gydoense",14659,8551,5671,9155,7059,6319
