"","filename","species","current","cc","cn","gf","he","mp"
"1","Aulax pallasia_total_curr_2010.csv","Aulax pallasia",252000,252000,252000,252000,252000,252000
"2","Aulax pallasia_total_curr_2040.csv","Aulax pallasia",252000,252000,252000,252000,252000,252000
"3","Aulax pallasia_total_curr_2070.csv","Aulax pallasia",252000,252000,252000,252000,252000,252000
"4","Aulax umbellata_total_curr_2010.csv","Aulax umbellata",252000,252000,252000,252000,252000,252000
"5","Aulax umbellata_total_curr_2040.csv","Aulax umbellata",252000,252000,252000,252000,252000,252000
"6","Aulax umbellata_total_curr_2070.csv","Aulax umbellata",252000,252000,252000,252000,252000,252000
"7","Brabejum stellatifolium_total_curr_2010.csv","Brabejum stellatifolium",252000,252000,252000,252000,252000,252000
"8","Brabejum stellatifolium_total_curr_2040.csv","Brabejum stellatifolium",252000,252000,252000,252000,252000,252000
"9","Brabejum stellatifolium_total_curr_2070.csv","Brabejum stellatifolium",252000,252000,252000,252000,252000,252000
"10","Diastella buekii_total_curr_2010.csv","Diastella buekii",252000,252000,252000,252000,252000,252000
"11","Diastella buekii_total_curr_2040.csv","Diastella buekii",252000,252000,252000,252000,252000,252000
"12","Diastella buekii_total_curr_2070.csv","Diastella buekii",252000,252000,252000,252000,252000,252000
"13","Diastella divaricata_total_curr_2010.csv","Diastella divaricata",252000,252000,252000,252000,252000,252000
"14","Diastella divaricata_total_curr_2040.csv","Diastella divaricata",252000,252000,252000,252000,252000,252000
"15","Diastella divaricata_total_curr_2070.csv","Diastella divaricata",252000,252000,252000,252000,252000,252000
"16","Diastella fraterna_total_curr_2010.csv","Diastella fraterna",252000,252000,252000,252000,252000,252000
"17","Diastella fraterna_total_curr_2040.csv","Diastella fraterna",252000,252000,252000,252000,252000,252000
"18","Diastella fraterna_total_curr_2070.csv","Diastella fraterna",252000,252000,252000,252000,252000,252000
"19","Diastella parilis_total_curr_2010.csv","Diastella parilis",252000,252000,252000,252000,252000,252000
"20","Diastella parilis_total_curr_2040.csv","Diastella parilis",252000,252000,252000,252000,252000,252000
"21","Diastella parilis_total_curr_2070.csv","Diastella parilis",252000,252000,252000,252000,252000,252000
"22","Diastella proteoides_total_curr_2010.csv","Diastella proteoides",252000,252000,252000,252000,252000,252000
"23","Diastella proteoides_total_curr_2040.csv","Diastella proteoides",252000,252000,252000,252000,252000,252000
"24","Diastella proteoides_total_curr_2070.csv","Diastella proteoides",252000,252000,252000,252000,252000,252000
"25","Diastella thymelaeoides_total_curr_2010.csv","Diastella thymelaeoides",252000,252000,252000,252000,252000,252000
"26","Diastella thymelaeoides_total_curr_2040.csv","Diastella thymelaeoides",252000,252000,252000,252000,252000,252000
