Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.57059E-9,0.000000657,0.000007283,1,0,0
6.92208E-9,0.000001349,0.000007673,0.999899729,0,0
7.13177E-9,0.000002756,0.000007905,0.999699188,0,0
7.88887E-9,0.000010333,0.000008744,0.99869648,0,0
8.38775E-9,0.000025119,0.000009297,0.996891607,0,0
9.15958E-9,0.000050579,0.000010153,0.993983756,0,0
1.02009E-8,0.000100897,0.000011307,0.988769678,0,0
1.2475E-8,0.000251141,0.000013827,0.975533942,0,0
1.72432E-8,0.00050093,0.000019112,0.958387647,0,0
2.51542E-8,0.00100175,0.000027881,0.934523213,0,0
4.94511E-8,0.002503628,0.00005481,0.89301113,0,0
8.93884E-8,0.005008739,0.000099071,0.855610147,0,0
1.68177E-7,0.010005475,0.000186377,0.814699689,0,0
3.44227E-7,0.025025018,0.000381405,0.752832648,0,0
6.31286E-7,0.05004261,0.000699244,0.700090244,0,0
1.05636E-6,0.100048902,0.001169526,0.640028076,0,0
1.9342E-6,0.200090893,0.002139331,0.570941542,0,0
3.09883E-6,0.300086385,0.00342307,0.529930813,0,0
4.59871E-6,0.400360336,0.005071479,0.503158528,0,0
5.65495E-6,0.500530076,0.006229052,0.483605735,0,0
6.7113E-6,0.600284748,0.007384052,0.467562419,0,0
7.59012E-6,0.700382803,0.008342893,0.453624787,0,0
7.93106E-6,0.750042027,0.008714381,0.44720746,0,0
8.45008E-6,0.800718362,0.009279379,0.440990675,0,0
9.316E-6,0.90014046,0.010220556,0.429760353,0,0
1.02213E-5,1.000750579,0.011202588,0.419432468,0,0
1.11813E-5,1.100890806,0.012241882,0.410007019,0,0
1.19701E-5,1.200373098,0.013094272,0.401383736,0,0
1.28523E-5,1.301173992,0.014045762,0.393261807,0,0
1.36451E-5,1.400276909,0.014899237,0.385741502,0,0
1.42734E-5,1.500656414,0.015574584,0.378522009,0,0
1.61037E-5,1.751208583,0.017536759,0.361977339,0,0
1.78841E-5,2.001347427,0.019437927,0.347237541,0,0
1.94201E-5,2.251131127,0.021072165,0.333801263,0,0
2.09657E-5,2.502040798,0.022711122,0.321367693,0,0
2.24842E-5,2.750067946,0.02431603,0.309936829,0,0
2.41182E-5,3.000133427,0.02603714,0.299207861,0,0
2.53196E-5,3.252504282,0.027298745,0.288980247,0,0
2.65599E-5,3.50147903,0.028597745,0.279354256,0,0
2.7737E-5,3.751669512,0.029827371,0.270129349,0,0
2.88523E-5,4.00062893,0.030989582,0.261305525,0,0
3.00598E-5,4.251135719,0.032244696,0.252782513,0,0
3.14753E-5,4.500546061,0.033711865,0.244660584,0,0
3.28585E-5,4.751598831,0.035141367,0.236839467,0,0
3.46076E-5,5.001272442,0.03694284,0.229419432,0,0
3.60669E-5,5.252135241,0.038440697,0.222300211,0,0
3.76563E-5,5.502649073,0.040066876,0.215481801,0,0
3.98084E-5,5.753943143,0.042259919,0.208964203,0,0
4.16382E-5,6.002858449,0.044116697,0.202847689,0,0
4.37774E-5,6.25029997,0.04627839,0.197031986,0,0
4.56207E-5,6.500633604,0.048133225,0.191416825,0,0
4.79188E-5,6.753163103,0.050435603,0.186002206,0,0
5.01989E-5,7.003353175,0.052708931,0.180888399,0,0
5.28673E-5,7.250861277,0.055355649,0.176075404,0,0
5.58085E-5,7.500563966,0.058255882,0.17146295,0,0
5.96313E-5,7.754612848,0.061998929,0.167051038,0,0
6.25789E-5,8.005846905,0.064864766,0.162939938,0,0
6.5468E-5,8.255426967,0.067656773,0.159029379,0,0
6.85717E-5,8.504042296,0.070637757,0.155319362,0,0
7.18069E-5,8.757104242,0.073724725,0.151709616,0,0
7.48938E-5,9.005561647,0.07665111,0.148300411,0,0
7.79864E-5,9.250786815,0.079564446,0.145091748,0,0
8.22028E-5,9.506972233,0.083506925,0.141883084,0,0
8.52185E-5,9.758206933,0.08630606,0.138874962,0.076923077,0
8.99212E-5,10.003414261,0.090637116,0.136067382,0.076923077,0
9.34372E-5,10.250900618,0.093848525,0.133360072,0.076923077,0
9.65157E-5,10.507658627,0.096641738,0.130652762,0.076923077,0
9.97766E-5,10.752999968,0.099581737,0.128145994,0.076923077,0
1.02858E-4,11.006541983,0.102342628,0.125639226,0.076923077,0
1.06138E-4,11.257447546,0.105262037,0.123232728,0.076923077,0
1.08899E-4,11.504911603,0.107705712,0.120926502,0.076923077,0
1.12806E-4,11.759398905,0.111140356,0.118620275,0.076923077,0
1.15941E-4,12.000444863,0.11387716,0.116514589,0.076923077,0
1.20013E-4,12.259954603,0.117407598,0.114308633,0.076923077,0
1.23049E-4,12.503321017,0.120020922,0.112303219,0.076923077,0
1.26126E-4,12.752859333,0.122653977,0.110297804,0.076923077,0
1.3142E-4,13.010759753,0.127147961,0.108292389,0.076923077,0
1.35263E-4,13.263344849,0.130380685,0.106387246,0.076923077,0
1.38018E-4,13.509972895,0.132684129,0.104582372,0.076923077,0
1.41684E-4,13.761859888,0.135730065,0.102777499,0.076923077,0
1.45457E-4,14.005661033,0.138843015,0.101072897,0.076923077,0
1.52267E-4,14.257412639,0.144404721,0.099368294,0.076923077,0
1.5641E-4,14.504220467,0.147752935,0.097763963,0.076923077,0
1.60792E-4,14.757044058,0.151266401,0.096159631,0.076923077,0
1.64721E-4,15.001043615,0.154392321,0.09465557,0.076923077,0
1.68602E-4,15.251240515,0.157456958,0.093151509,0.076923077,0
1.75896E-4,15.509922635,0.163156979,0.091647448,0.076923077,0
1.81119E-4,15.760205401,0.167192082,0.090243658,0.076923077,0
1.86962E-4,16.017438663,0.171659691,0.088839868,0.076923077,0
1.91002E-4,16.263478663,0.174721054,0.087536348,0.076923077,0
1.95502E-4,16.51486163,0.178104391,0.086232829,0.076923077,0
1.9976E-4,16.752271377,0.181280539,0.08502958,0.076923077,0
2.07908E-4,17.01870199,0.187289624,0.08372606,0.076923077,0
2.1419E-4,17.250893635,0.191862912,0.082623082,0.076923077,0
2.20689E-4,17.512450449,0.196539904,0.081419834,0.076923077,0
2.26795E-4,17.75938381,0.200885747,0.080316856,0.076923077,0
2.3142E-4,18.011529439,0.204146216,0.079213877,0.076923077,0
2.3661E-4,18.269641179,0.207772979,0.078110899,0.076923077,0
2.42618E-4,18.509290426,0.211930637,0.077108192,0.076923077,0
2.48236E-4,18.754913364,0.215778956,0.076105485,0.076923077,0
2.52264E-4,19.004601072,0.218515713,0.075102777,0.076923077,0
2.54388E-4,19.257886838,0.219950664,0.07410007,0.076923077,0
2.56051E-4,19.512978882,0.221070849,0.073097363,0.076923077,0
2.61667E-4,19.772157658,0.224829364,0.072094656,0.076923077,0
2.65322E-4,20.009710975,0.227256112,0.071192219,0.076923077,0
2.71294E-4,20.250691303,0.231188783,0.070289782,0.076923077,0
2.78668E-4,20.525635128,0.235989972,0.069287075,0.076923077,0
2.8365E-4,20.750836381,0.239199636,0.068484909,0.076923077,0
2.9031E-4,21.009584517,0.243448402,0.067582473,0.076923077,0
2.96415E-4,21.273083254,0.247302145,0.066680036,0.076923077,0
2.99993E-4,21.512493187,0.249542009,0.06587787,0.076923077,0
3.06886E-4,21.755597462,0.253820618,0.065075704,0.076923077,0
3.13474E-4,22.003863078,0.257864648,0.064273539,0.076923077,0
3.17765E-4,22.257010131,0.260474901,0.063471373,0.076923077,0
3.24014E-4,22.513578773,0.264243351,0.062669207,0.076923077,0
3.33116E-4,22.776971566,0.269664687,0.061867041,0.076923077,0
3.36887E-4,23.011614702,0.271887411,0.061165146,0.076923077,0
3.41102E-4,23.282668014,0.274356007,0.06036298,0.076923077,0
3.46938E-4,23.523698455,0.277746448,0.059661085,0.076923077,0
3.51154E-4,23.768154268,0.28017576,0.05895919,0.076923077,0
3.59856E-4,24.017597182,0.285139281,0.058257295,0.076923077,0
3.61116E-4,24.269815966,0.285852397,0.0575554,0.076923077,0
3.70186E-4,24.526813973,0.290943127,0.056853504,0.076923077,0
3.73351E-4,24.750055269,0.292702241,0.05625188,0.076923077,0
3.78876E-4,25.01315571,0.295752795,0.055549985,0.076923077,0
3.89096E-4,25.282174301,0.301326704,0.05484809,0.076923077,0
3.95074E-4,25.517878516,0.304546438,0.054246465,0.076923077,0
3.98666E-4,25.756610963,0.306466446,0.053644841,0.153846154,0
4.08451E-4,26.039431634,0.311644539,0.052942946,0.153846154,0
4.15703E-4,26.285775939,0.315432159,0.052341322,0.153846154,0
4.28506E-4,26.540941438,0.322018939,0.051739697,0.153846154,0
4.33501E-4,26.757081932,0.324554372,0.051238344,0.153846154,0
4.4902E-4,27.022413107,0.332311779,0.050636719,0.153846154,0
4.55889E-4,27.29375005,0.335688907,0.050035095,0.153846154,0
4.57341E-4,27.5222682,0.336398442,0.049533741,0.153846154,0
4.66023E-4,27.753588553,0.340609426,0.049032387,0.153846154,0
4.716E-4,28.035138551,0.343286435,0.048430763,0.153846154,0
4.85224E-4,28.274654232,0.349735093,0.047929409,0.153846154,0
4.90518E-4,28.518992052,0.352206935,0.047428056,0.153846154,0
4.96556E-4,28.765730779,0.35500312,0.046926702,0.153846154,0
5.01479E-4,29.015633607,0.35726532,0.046425348,0.153846154,0
5.05759E-4,29.267781181,0.359219399,0.045923995,0.153846154,0
5.13819E-4,29.52335082,0.362866727,0.045422641,0.153846154,0
5.18933E-4,29.782376413,0.365159493,0.044921287,0.153846154,0
5.27914E-4,30.044573929,0.3691463,0.044419934,0.153846154,0
5.32559E-4,30.256833037,0.37118865,0.044018851,0.153846154,0
5.35855E-4,30.524382435,0.372629768,0.043517497,0.153846154,0
5.46084E-4,30.795643172,0.37706105,0.043016144,0.153846154,0
5.4966E-4,31.015017161,0.378595476,0.042615061,0.230769231,0
5.53253E-4,31.291058507,0.380129263,0.042113707,0.230769231,0
5.5921E-4,31.514255627,0.382656291,0.041712624,0.230769231,0
5.69227E-4,31.797683594,0.386859006,0.04121127,0.307692308,0
5.73273E-4,32.026225364,0.388540281,0.040810188,0.307692308,0
5.78182E-4,32.257019297,0.390567726,0.040409105,0.307692308,0
5.84782E-4,32.548244195,0.393273098,0.039907751,0.384615385,0
6.03605E-4,32.787351625,0.400857473,0.039506668,0.384615385,0
6.10025E-4,33.029702627,0.403401057,0.039105585,0.384615385,0
6.15472E-4,33.274779233,0.405542359,0.038704502,0.384615385,0
6.18048E-4,33.521809003,0.406549383,0.038303419,0.384615385,0
6.31284E-4,33.773128564,0.411671634,0.037902336,0.384615385,0
6.37386E-4,34.02704607,0.414003597,0.037501253,0.384615385,0
