Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.00983E-10,0.00000002,0.000000198,1,0,0
2.0508E-10,0.000000041,0.000000202,0.99989992,0,0
2.21169E-10,0.000000106,0.000000218,0.99959968,0,0
2.34823E-10,0.000000267,0.000000231,0.998899119,0,0
2.798E-10,0.000001025,0.000000276,0.995996797,0,0
3.21676E-10,0.000002526,0.000000317,0.990992794,0,0
4.86888E-10,0.000010015,0.00000048,0.972477982,0,0
9.21093E-10,0.000025072,0.000000907,0.949959968,0,0
1.50646E-9,0.000050016,0.000001484,0.928943155,0,0
3.08201E-9,0.000100289,0.000003036,0.90652522,0,0
6.15515E-9,0.000250107,0.000006064,0.873999199,0,0
1.08452E-8,0.000500732,0.000010684,0.84377502,0,0
1.98859E-8,0.001001831,0.000019591,0.811048839,0,0
4.20377E-8,0.002503143,0.000041413,0.760108086,0,0
7.78278E-8,0.005003711,0.000076668,0.717473979,0,0
1.32967E-7,0.010010274,0.000130979,0.668734988,0,0
3.02197E-7,0.025022567,0.000297629,0.596076861,0,0
6.03044E-7,0.050018057,0.000593753,0.540032026,0,0
1.19295E-6,0.100012842,0.001173894,0.482485989,0,0
2.28873E-6,0.200177144,0.002249737,0.423238591,0.025641026,0
3.28581E-6,0.30026211,0.003226666,0.386709367,0.025641026,0
4.3368E-6,0.400426792,0.004254346,0.360588471,0.025641026,0
5.32293E-6,0.500487922,0.00521668,0.339871898,0.025641026,0
6.3794E-6,0.600077334,0.006245594,0.322758207,0.025641026,0
7.34327E-6,0.700295739,0.007182472,0.308146517,0.025641026,0
7.76267E-6,0.750769754,0.007589579,0.301441153,0.025641026,0
8.31596E-6,0.800595878,0.00812613,0.295236189,0.025641026,0
9.5733E-6,0.900683931,0.009343291,0.284027222,0.025641026,0
1.07772E-5,1.000218957,0.010505937,0.274219376,0.025641026,0
1.16608E-5,1.100880953,0.011357472,0.26521217,0.025641026,0
1.27165E-5,1.200149029,0.012372998,0.257005604,0.025641026,0
1.37997E-5,1.3003155,0.013412786,0.24939952,0.025641026,0
1.50699E-5,1.401472482,0.014629353,0.242393915,0.025641026,0
1.63328E-5,1.500384652,0.015835897,0.236088871,0.025641026,0
1.94962E-5,1.750349145,0.018845273,0.222077662,0.025641026,0
2.2216E-5,2.000335661,0.021417998,0.210068054,0.025641026,0
2.51836E-5,2.250980612,0.024209732,0.199459568,0.025641026,0
2.83708E-5,2.501896374,0.027190375,0.190152122,0.025641026,0
3.20232E-5,2.750733392,0.030583681,0.181845476,0.025641026,0
3.56466E-5,3.000339797,0.033926781,0.174439552,0.025641026,0
3.93255E-5,3.252448137,0.037297652,0.167734187,0.025641026,0
4.48938E-5,3.500008482,0.04235508,0.161829464,0.025641026,0
4.90255E-5,3.753307959,0.04607357,0.15642514,0.025641026,0
5.29946E-5,4.00332891,0.049618588,0.151521217,0.025641026,0
5.78514E-5,4.252515757,0.05392077,0.147017614,0.025641026,0
6.27382E-5,4.500056954,0.058210413,0.142914331,0.051282051,0
6.839E-5,4.755871696,0.063123372,0.139011209,0.051282051,0
7.28866E-5,5.004747472,0.06699559,0.135508407,0.051282051,0
7.65851E-5,5.251508529,0.070156702,0.132205765,0.051282051,0
8.29528E-5,5.507445397,0.075549246,0.129003203,0.051282051,0
8.72011E-5,5.754161937,0.079112286,0.126100881,0.051282051,0
9.16508E-5,6.005177911,0.082814878,0.123298639,0.051282051,0
9.59897E-5,6.257681318,0.086396703,0.120596477,0.051282051,0
9.88402E-5,6.501270531,0.088734717,0.118094476,0.051282051,0
1.03733E-4,6.754833534,0.092720146,0.115592474,0.051282051,0
1.0796E-4,7.010097039,0.096135175,0.113190552,0.051282051,0
1.13517E-4,7.255645653,0.100585337,0.110988791,0.051282051,0
1.18428E-4,7.511752053,0.104482655,0.10878703,0.051282051,0
1.21895E-4,7.752085239,0.107213024,0.106785428,0.051282051,0
1.3003E-4,8.004737027,0.113555648,0.104783827,0.051282051,0
1.33873E-4,8.255209747,0.116520846,0.102882306,0.051282051,0
1.38433E-4,8.500037872,0.120013859,0.101080865,0.051282051,0
1.47986E-4,8.760045965,0.127241614,0.099279424,0.051282051,0
1.52754E-4,9.000224387,0.130805096,0.097678143,0.051282051,0
1.6047E-4,9.265878853,0.136510582,0.095976781,0.051282051,0
1.65162E-4,9.510063288,0.139943614,0.09447558,0.051282051,0
1.70089E-4,9.762086957,0.143518775,0.09297438,0.051282051,0
1.73651E-4,10.002921637,0.146085747,0.091573259,0.051282051,0
1.767E-4,10.266202173,0.148269932,0.090072058,0.051282051,0
1.82503E-4,10.517018021,0.152397551,0.088670937,0.051282051,0
1.89202E-4,10.758540462,0.157112104,0.087369896,0.076923077,0
1.96959E-4,11.009887447,0.16250671,0.086068855,0.076923077,0
2.01744E-4,11.269196195,0.165800625,0.084767814,0.076923077,0
2.06979E-4,11.515174242,0.169374246,0.083566853,0.076923077,0
2.13354E-4,11.76798054,0.173684777,0.082365893,0.076923077,0
2.20182E-4,12.006893599,0.178252061,0.081265012,0.076923077,0
2.24009E-4,12.250158143,0.180790171,0.080164131,0.076923077,0
2.29435E-4,12.522530905,0.18436205,0.078963171,0.076923077,0
2.35087E-4,12.754291078,0.188050159,0.07796237,0.102564103,0
2.41959E-4,13.016266025,0.19248855,0.076861489,0.102564103,0
2.45143E-4,13.259633539,0.194529333,0.075860689,0.128205128,0
2.48481E-4,13.506278617,0.196657083,0.074859888,0.128205128,0
2.53698E-4,13.757921264,0.199960051,0.073859087,0.128205128,0
2.61433E-4,14.015746635,0.204808433,0.072858287,0.128205128,0
2.67171E-4,14.254320959,0.208366852,0.071957566,0.128205128,0
2.75833E-4,14.525427626,0.213678534,0.070956765,0.128205128,0
2.80617E-4,14.776264375,0.216582162,0.070056045,0.128205128,0
2.87772E-4,15.003852458,0.220884612,0.069255404,0.128205128,0
2.94163E-4,15.266587596,0.224687827,0.068354684,0.128205128,0
2.98335E-4,15.50388928,0.227150967,0.067554043,0.128205128,0
3.05149E-4,15.776266152,0.231139801,0.066653323,0.128205128,0
3.15256E-4,16.025044167,0.236981339,0.065852682,0.128205128,0
3.23269E-4,16.28156251,0.241549857,0.065052042,0.128205128,0
3.33253E-4,16.511541527,0.24716598,0.064351481,0.128205128,0
3.44397E-4,16.750437051,0.25333723,0.063650921,0.128205128,0
3.60512E-4,17.032271083,0.262084553,0.06285028,0.128205128,0
3.66211E-4,17.250388445,0.265129078,0.0622498,0.128205128,0
3.73866E-4,17.509218721,0.269179596,0.061549239,0.128205128,0
3.8246E-4,17.774178568,0.273673432,0.060848679,0.128205128,0
3.90364E-4,18.006303966,0.277758532,0.060248199,0.128205128,0
4.00956E-4,18.284173957,0.283161185,0.059547638,0.128205128,0
4.04454E-4,18.525962599,0.284927359,0.058947158,0.128205128,0
4.17789E-4,18.774367247,0.291582485,0.058346677,0.128205128,0
4.29747E-4,19.029439627,0.297445715,0.057746197,0.128205128,0
4.35374E-4,19.288800313,0.300171152,0.057145717,0.128205128,0
4.44006E-4,19.509733858,0.304311711,0.056645316,0.128205128,0
4.56684E-4,19.779875798,0.310304467,0.056044836,0.128205128,0
4.67418E-4,20.01169339,0.315298316,0.055544436,0.128205128,0
4.7876E-4,20.296935134,0.320497242,0.054943955,0.128205128,0
4.88238E-4,20.538596305,0.324781471,0.054443555,0.128205128,0
4.96668E-4,20.785124316,0.328546812,0.053943155,0.128205128,0
5.15245E-4,21.039938034,0.336698006,0.053442754,0.128205128,0
5.22947E-4,21.299920433,0.340019355,0.052942354,0.128205128,0
5.26855E-4,21.509853703,0.341692431,0.052542034,0.153846154,0
5.44192E-4,21.778779802,0.34901183,0.052041633,0.153846154,0
5.64388E-4,22.000339672,0.357335937,0.051641313,0.153846154,0
5.76004E-4,22.285614277,0.362028149,0.051140913,0.153846154,0
5.82321E-4,22.517350562,0.364550955,0.050740592,0.153846154,0
5.91872E-4,22.752995808,0.368328048,0.050340272,0.153846154,0
6.03714E-4,23.051505431,0.372948793,0.049839872,0.153846154,0
6.21571E-4,23.296843277,0.379790516,0.049439552,0.153846154,0
6.30138E-4,23.546913982,0.383020117,0.049039231,0.153846154,0
6.38662E-4,23.801454141,0.386200498,0.048638911,0.153846154,0
6.45052E-4,24.058304211,0.388563031,0.048238591,0.153846154,0
6.52328E-4,24.253767521,0.391231314,0.047938351,0.153846154,0
6.58366E-4,24.515924062,0.393427787,0.04753803,0.153846154,0
6.63365E-4,24.779973478,0.395234365,0.04713771,0.153846154,0
6.74328E-4,25.048683696,0.399158893,0.04673739,0.153846154,0
6.8578E-4,25.253950231,0.403204528,0.04643715,0.153846154,0
7.00969E-4,25.531822669,0.408486795,0.046036829,0.153846154,0
7.10851E-4,25.814360798,0.411873692,0.045636509,0.153846154,0
7.21141E-4,26.029972203,0.415359394,0.045336269,0.153846154,0
7.34395E-4,26.320057162,0.419788702,0.044935949,0.153846154,0
7.40026E-4,26.541498813,0.421650513,0.044635709,0.153846154,0
7.42522E-4,26.764193262,0.422471741,0.044335468,0.179487179,0
7.47817E-4,27.062659305,0.424206555,0.043935148,0.179487179,0
7.52096E-4,27.288244504,0.425600778,0.043634908,0.179487179,0
7.55101E-4,27.514365394,0.426575885,0.043334668,0.179487179,0
7.63544E-4,27.818190745,0.429297813,0.042934347,0.179487179,0
7.73096E-4,28.049032202,0.432346431,0.042634107,0.179487179,0
7.92466E-4,28.284247955,0.438429644,0.042333867,0.179487179,0
8.00424E-4,28.523592132,0.44089114,0.042033627,0.179487179,0
8.05731E-4,28.765091945,0.442520999,0.041733387,0.205128205,0
8.12727E-4,29.008455942,0.444654543,0.041433147,0.205128205,0
8.16083E-4,29.252927286,0.445672507,0.041132906,0.205128205,0
8.29906E-4,29.500673929,0.44982559,0.040832666,0.205128205,0
8.34709E-4,29.750684141,0.451254151,0.040532426,0.205128205,0
8.39136E-4,30.002222648,0.452564568,0.040232186,0.205128205,0
8.50558E-4,30.256483281,0.455916155,0.039931946,0.230769231,0
8.62099E-4,30.514128791,0.459261085,0.039631705,0.230769231,0
8.72959E-4,30.775134535,0.46237151,0.039331465,0.230769231,0
8.76677E-4,31.037928792,0.463428248,0.039031225,0.230769231,0
8.834E-4,31.302497233,0.465328555,0.038730985,0.256410256,0
8.8638E-4,31.567933545,0.466166468,0.038430745,0.256410256,0
8.99081E-4,31.836369478,0.469708562,0.038130504,0.256410256,0
9.0068E-4,32.016436169,0.470151331,0.037930344,0.256410256,0
9.22284E-4,32.28980591,0.476059805,0.037630104,0.256410256,0
9.33772E-4,32.568996472,0.479148216,0.037329864,0.256410256,0
9.38096E-4,32.756406171,0.480301347,0.037129704,0.256410256,0
9.53582E-4,33.041597221,0.484389476,0.036829464,0.256410256,0
